iter	Passed	Remaining
0	0	29
1	0	32
2	1	33
3	1	29
4	1	29
5	1	29
6	2	30
7	2	30
8	3	31
9	3	30
10	3	29
11	3	28
12	4	27
13	4	27
14	4	27
15	5	26
16	5	25
17	5	25
18	5	24
19	6	24
20	6	23
21	6	23
22	6	23
23	7	22
24	7	22
25	7	22
26	8	21
27	8	21
28	8	20
29	8	20
30	9	20
31	9	19
32	9	19
33	9	18
34	10	18
35	10	18
36	10	17
37	10	17
38	11	17
39	11	16
40	11	16
41	11	16
42	11	15
43	12	15
44	12	15
45	12	14
46	12	14
47	13	14
48	13	13
49	13	13
50	13	13
51	14	13
52	14	12
53	14	12
54	14	12
55	15	11
56	15	11
57	15	11
58	15	10
59	16	10
60	16	10
61	16	10
62	16	9
63	17	9
64	17	9
65	17	9
66	17	8
67	18	8
68	18	8
69	18	8
70	18	7
71	19	7
72	19	7
73	19	6
74	20	6
75	20	6
76	20	6
77	20	5
78	21	5
79	21	5
80	21	5
81	21	4
82	22	4
83	22	4
84	22	3
85	22	3
86	23	3
87	23	3
88	23	2
89	23	2
90	24	2
91	24	2
92	24	1
93	24	1
94	25	1
95	25	1
96	25	0
97	25	0
98	26	0
99	26	0
